Halomonas boliviensis Quillaguamán et al. (ATCC BAA-760),$550.00,$467.50,unavailable,LC2 [DSM 15517],1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 30.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,unavailable
Chromohalobacter sarecensis Quillaguamán et al. (ATCC BAA-761),$550.00,$467.50,unavailable,"LV4 [CCUG 47987, DSM 15547]",1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Trichococcus patagoniensis Pikuta et al. (ATCC BAA-756),$550.00,$467.50,unavailable,PmagG1,1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Atmosphere: nitrogen (N2), 100%Temperature: 20.0Celsius Atmosphere: Anaerobic",unavailable,unavailable
Halosimplex carlsbadense Vreeland et al. (ATCC BAA-75),$550.00,$467.50,unavailable,2-9-1 [JCM 11222],1,freeze-dried,ATCC  2235: PG medium for Halosimplex,Temperature: 40.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Psychroflexus tropicus (ATCC BAA-734),$550.00,$467.50,unavailable,LA1,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Selenihalanaerobacter shriftii Blum et al. (ATCC BAA-73),$550.00,$467.50,unavailable,DSSe1,1,frozen,ATCC  2264: Selenohalobacter shriftii medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Reduces selenic acid selenateBiotechnology
Psychromonas marina Kawasaki et al. (ATCC BAA-724),$550.00,$467.50,unavailable,"JCM 10501 [4-22, IAM 14899, NCIMB 13792]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 15.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,Biotechnology
Sporosarcina aquimarina Yoon et al. (ATCC BAA-723),$550.00,$467.50,unavailable,"JCM 10887 [KCCM 41039, SW28]",1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 26.0Celsius Atmosphere: Facultative anaerobe,2Celsius  to 8Celsius,unavailable
Salinicoccus alkaliphilus Zhang et al. (ATCC BAA-722),$550.00,$467.50,unavailable,"JCM 11311 [AS 1.2691, CIP 107622, T8]",1,freeze-dried,ATCC  87: Nutrient agar with NaCl,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Biotechnology
Methanotorris formicicus Takai et al. (ATCC BAA-687),$550.00,$467.50,unavailable,Mc-S-70 [JCM 11930],1,frozen,ATCC  2121: Methanococcus jannaschii medium (DSM 282),"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 65.0Celsius Atmosphere: Anaerobic",unavailable,unavailable
Haloarcula sp. (ATCC BAA-652),"For-Profit:
$376.00",,unavailable,GUBF-9,1,freeze-dried,ATCC  2399: Modified ATCC #213 Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Haloarcula sp. (ATCC BAA-651),$550.00,$467.50,unavailable,GUBF-8,1,freeze-dried,ATCC  2399: Modified ATCC #213 Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Halobacterium sp. (ATCC BAA-647),$550.00,$467.50,unavailable,GUBF-4,1,freeze-dried,ATCC  2399: Modified ATCC #213 Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Haloferax sp. (ATCC BAA-646),$550.00,$467.50,unavailable,GUBF-3,1,freeze-dried,ATCC  2399: Modified ATCC #213 Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Haloferax sp. (ATCC BAA-645),$550.00,$467.50,unavailable,GUBF-2,1,freeze-dried,ATCC  2399: Modified ATCC #213 Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic with shaking,unavailable,Biotechnology
Desulfitobacterium metallireducens Finneran et al. (ATCC BAA-636),$550.00,$467.50,unavailable,853-15A,1,frozen,Modified 2260 for BAA-636,"Temperature: 30.0Celsius 
Atmosphere:  Anaerobic - 80% N2, 20% CO2",-80Celsius  or colder,unavailable
Geothermobacter ehrlichii Kashefi et al. (ATCC BAA-635),$550.00,$467.50,unavailable,SS015 [DSM 15274],1,frozen,ATCC  2491: Geothermobacter ehrlichii,"Temperature: 50Celsius  
Atmosphere: Anaerobic gas mixture, 80% N2 - 20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Pelotomaculum schinkii de Bok et al. (ATCC BAA-615),$550.00,$467.50,unavailable,HH [DSM 15200],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Moorella mulderi Balk et al. (ATCC BAA-608),$550.00,$467.50,unavailable,TMS [DSM 14980],1,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,"Atmosphere: nitrogen (N2), 80%; carbon dioxide (CO2), 20%Max Temperature: 65.0Celsius Min Temperature: 55.0Celsius Atmosphere: Anaerobic",unavailable,Reduces thiosulfate
