Thermodesulfobacterium commune Zeikus et al. (ATCC 33708),$550.00,$467.50,unavailable,"YSRA-1 [DSM 2178, VKM B-1767]",1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1276: Thermodesulfobacterium medium (ATCC medium 1045) with 0.1% yeast extract, 3% Na2SO4 and 0.4% sodium lactate",Temperature: 70.0Celsius Atmosphere: Anaerobic,unavailable,Produces glycerol ethers
Hydrogenophaga flava (Niklewski) Willems et al. (ATCC 33667),"For-Profit:
$376.00",,unavailable,"DSM 619 [CCUG 1658, LMG 2185]",1,freeze-dried,ATCC  1246: Mineral medium for hydrogen bacteria,Temperature: 30.0Celsius,unavailable,unavailable
Beggiatoa alba (Vaucher) Trevisan (ATCC 33556),$550.00,$467.50,unavailable,B25RD,1,frozen,ATCC  138: Beggiatoa medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,CharacterizationBiotechnology
Beggiatoa alba (Vaucher) Trevisan (ATCC 33555),$550.00,$467.50,unavailable,B18LD,1,frozen,ATCC  138: Beggiatoa medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,CharacterizationBiotechnology
Rhodobacter blasticus (Eckersley and Dow) Kawasaki et al. (ATCC 33485),$550.00,$467.50,unavailable,NCIB 11576,1,freeze-dried,ATCC  1170: Rhodopseudomonas blastica medium,Temperature: 30.0Celsius,unavailable,Biotechnology
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 33303),$550.00,$467.50,unavailable,B10,1,freeze-dried,"ATCC  1139: Defined medium for rhodopseudomonas
ATCC  3: Nutrient agar or nutrient broth
ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  18: Trypticase Soy Agar/Broth","Temperature: 30Celsius 
Atmosphere: Anaerobic (#1139 under a tungsten lamp); Aerobic (#3, #18, or #44 agar plates in the dark)",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Methanobacterium bryantii Balch and Wolfe (ATCC 33272),$550.00,$467.50,unavailable,DSM 863 [M.o.H.],1,freeze-dried,ATCC  2601: Methanocalculus  chunghsingensis,"Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Thermoanaerobacter acetoethylicus (Ben-Bassat and Zeikus) Rainey and Stackebrandt (ATCC 33265),$550.00,$467.50,unavailable,"HTB2 [DSM 2359, HTB2/W]",1,freeze-dried,"ATCC  1135: Methanobacteria medium (ATCC medium 1045) with xylose 0.5%, yeast extract 0.3%, and tryptone 1.0",Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Produces methane
Thermoanaerobacter pseudethanolicus (ATCC 33223),$550.00,$467.50,seqeunce available,39E,1,freeze-dried,ATCC  1118: Methanobacteria medium (ATCC medium 1045) with 0.2% yeast extract and 0.5% glucose,Temperature: 65.0Celsius Atmosphere: Anaerobic,unavailable,Degrades starchProduces ethyl alcohol ethanolProduces glucoamylaseProduces pullulanase pullulan 6-glucanohydrolaseProduces thermostable pullulanase and glucoamylaseProduces ethanol from starch
Halomonas elongata Vreeland et al. (ATCC 33174),$550.00,$467.50,unavailable,1 H 15,1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 30.0Celsius,unavailable,CharacterizationBiotechnology
Methylophaga thalassica (Yamamoto et al.) Janvier et al. (ATCC 33146),$550.00,$467.50,unavailable,YK-4015 [NCMB 2163],1,freeze-dried,ATCC  1090: Marine methanol medium,Temperature: 37.0Celsius,unavailable,Biotechnology
Methylophaga thalassica (Yamamoto et al.) Janvier et al. (ATCC 33145),$550.00,$467.50,unavailable,YK-4007,1,freeze-dried,ATCC  1090: Marine methanol medium,Temperature: 30.0Celsius,unavailable,CharacterizationBiotechnology
Acidithiobacillus ferrooxidans (Temple and Colmer) Kelly and Wood (ATCC 33020),"$1,200.00","$1,020.00",unavailable,11Fe,1,test tube,unavailable,Temperature: 26.0Celsius,unavailable,Produces hydrogen sulfide:ferric ion oxidoreductaseBiotechnology
Methylomicrobium album (Whittenbury et al.) Bowman et al. (ATCC 33003),$550.00,$467.50,unavailable,"NCIB 11123, BG8",1,frozen,ATCC  1057: Methylococcus medium,"Temperature: 30Celsius 
Atmosphere: Methane (CH4), 50%; air, 50%",-80Celsius  or colder,CharacterizationBiotechnology
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 31909),$550.00,$467.50,unavailable,Eps-427,1,freeze-dried,ATCC  38: Beef liver medium for anaerobes,Temperature: 55.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanol
Thermoanaerobacter ethanolicus Wiegel and Ljungdahl (ATCC 31938),$550.00,$467.50,unavailable,JW200L-Fe(7),1,freeze-dried,ATCC  1190: Thermoanaerobacter ethanolicus medium,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanolProduction of ethanol from xyloseBiotechnology
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 31908),$550.00,$467.50,unavailable,Asp-323,1,freeze-dried,ATCC  38: Beef liver medium for anaerobes,Temperature: 55.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanol
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 31960),$550.00,$467.50,unavailable,HG-8,1,freeze-dried,"ATCC  1190: Thermoanaerobacter ethanolicus medium
ATCC  1190: Thermoanaerobacter ethanolicus medium
ATCC  1465: Basal thermophile medium",Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,"Produces R(-)-1,2 propanediolProduces acetol hydroxyacetoneProduces ethyl alcohol ethanolBiotechnology"
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 31925),$550.00,$467.50,unavailable,HG-6,1,freeze-dried,ATCC  1203: CM4 medium,Temperature: 60.0Celsius Atmosphere: Anaerobic,unavailable,Produces ethyl alcohol ethanolBiotechnology
Thermus scotoductus Kristjansson et al. (ATCC 31558),$550.00,$467.50,unavailable,104,1,frozen,ATCC  1086: Thermus PMY,"Temperature: 65Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Thermoanaerobacter ethanolicus Wiegel and Ljungdahl (ATCC 31550),$550.00,$467.50,unavailable,JW 200 [DSM 2246],1,freeze-dried,ATCC  1190: Thermoanaerobacter ethanolicus medium,Temperature: 55.0Celsius Atmosphere: Anaerobic,unavailable,Degrades celluloseProduces alcohol dehydrogenaseProduces ethyl alcohol ethanolProduction of ethanol from cellulose
Methylomonas clara Prave (ATCC 31226),$550.00,$467.50,unavailable,FH-B-5460,1,freeze-dried,"ATCC  1354: Nitrate mineral salts medium (ATCC medium 1306) with 0.1% sterile methanol
ATCC  1354: Nitrate mineral salts medium (ATCC medium 1306) with 0.1% sterile methanol
ATCC  620: Nutrient agar with methanol",Temperature: 37.0Celsius,unavailable,Produces single-cell protein SCP
Acidithiobacillus ferrooxidans (Temple and Colmer) Kelly and Wood (ATCC 21834),"$1,200.00","$1,020.00",unavailable,[FERM-1191],1,test tube,ATCC  2039: Acidithiobacillus ferrooxidans,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces hydrogen sulfide:ferric ion oxidoreductaseBiotechnology
Haloarcula vallismortis (Gonzalez et al.) Torreblanca et al. (ATCC 29715),$550.00,$467.50,unavailable,"J.F. 54 [IFO 14741, JCM 8877]",1,freeze-dried,ATCC  217: Van Niel's yeast agar with 25% NaCl,Temperature: 37.0Celsius,unavailable,Biotechnology
Desulfovibrio gigas LeGall (ATCC 29494),$550.00,$467.50,unavailable,DSM 496,1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  42: Desulfovibrio medium",Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Halorubrum saccharovorum (Tomlinson and Hochstein) McGenity and Grant (ATCC 29252),$550.00,$467.50,unavailable,"M6 [DSM 1137, NCIMB 2081]",1,freeze-dried,ATCC  876: Casein medium,Temperature: 37.0Celsius,unavailable,Produces lactobionic acidBiotechnology
Methanothermobacter thermautotrophicus (Zeikus and Wolfe) Wasserfallen et al. (ATCC 29183),$550.00,$467.50,unavailable,YT,1,freeze-dried,ATCC  1045: Methanobacteria medium,"Temperature: 60.0Celsius Atmosphere: Under a gas mixture of 80% H2, 20% CO2",unavailable,unavailable
Thermus scotoductus Kristjansson et al. (ATCC 27978),$550.00,$467.50,unavailable,X-1,1,freeze-dried,ATCC  697: Thermus medium,Temperature: 64.0Celsius,unavailable,Biotechnology
Thiobacillus organoparus Markosian (ATCC 27977),$550.00,$467.50,unavailable,unavailable,1,freeze-dried,ATCC  806: Thiobacillus heterotrophic medium,Temperature: 26.0Celsius,unavailable,Biotechnology
Methanospirillum hungatei corrig. Ferry et al. 1974 (ATCC 27890),$550.00,$467.50,unavailable,JF-1 [DSM 864],1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2- 20% CO2; 100% nitrogen if formate is used as the substrate",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Desulfovibrio sp. (ATCC 27882),$550.00,$467.50,unavailable,D,1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  783: ML minimal lactate medium",Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thiomicrospira pelophila Kuenen and Veldkamp (ATCC 27801),$550.00,$467.50,unavailable,4B,1,freeze-dried,ATCC  1036: Thiomicrospira medium,Temperature: 26.0Celsius,unavailable,Biotechnology
Thiomonas intermedia (London) Moreira and Amils (ATCC 27793),$550.00,$467.50,unavailable,17 [THI 022],1,freeze-dried,ATCC  756: TYN,Temperature: 20.0Celsius,unavailable,Biotechnology
Thermus sp. (ATCC 27737),$550.00,$467.50,unavailable,T2,1,freeze-dried,"ATCC  723: Castenholz TYE medium, modified",Temperature: 70.0Celsius Atmosphere: With aeration,unavailable,unavailable
Acidiphilium acidophilum (Guay and Silver) Hiraishi et al. (ATCC 27807),$550.00,$467.50,unavailable,[DSM 700],1,freeze-dried,ATCC  738: 9-K glucose medium,Temperature: 26.0Celsius,unavailable,CharacterizationBiotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 277),$550.00,$467.50,unavailable,unavailable,1,frozen,ATCC  112: Van Niel's yeast agar,Temperature: 26.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thermoplasma acidophilum Darland et al. (ATCC 27657),$550.00,$467.50,unavailable,3-24,1,frozen,ATCC  569: Thermoplasma medium,Temperature: 55.0Celsius,unavailable,Biotechnology
Thermoanaerobacterium thermosaccharolyticum (McClung) Collins et al. (ATCC 27384),$550.00,$467.50,unavailable,T9-1 [DSM 572],1,freeze-dried,ATCC  38: Beef liver medium for anaerobes,Temperature: 50.0Celsius Atmosphere: Anaerobic,unavailable,Produces glucoamylaseProduces thermoactive glucoamylaseBiotechnology
Ancylobacter aquaticus (Orskov) Raj (ATCC 27069),$550.00,$467.50,unavailable,B,1,freeze-dried,ATCC  590: Casamino acids medium,Temperature: 30.0Celsius,unavailable,Nonmotile; produces intracellular gas vacuoles
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 27048),$550.00,$467.50,unavailable,ICPB 2204,1,freeze-dried,ATCC  550: R 8 A H medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Host for Bdellovibrio sp.Biotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 25852),$550.00,$467.50,unavailable,1e 5,1,freeze-dried,ATCC  550: R 8 A H medium,"Temperature: 30.0Celsius 
Atmosphere:  Anaerobic",2Celsius  to 8Celsius,Bacteriophage hostBiotechnology
Ancylobacter aquaticus (Orskov) Raj (ATCC 25396),$550.00,$467.50,unavailable,Mc-2 [Orskov],1,freeze-dried,"ATCC  507: Tryptone, glucose, beef extract with 0.1% yeast extract",Temperature: 26.0Celsius,unavailable,unavailable
Nitrobacter sp. (ATCC 25393),$550.00,$467.50,unavailable,Nb-263 [Genovesa soil sample 1],1,freeze-dried,ATCC  480: Nitrobacter medium 203,Temperature: 26.0Celsius Atmosphere: With shaking,unavailable,unavailable
Nitrobacter sp. (ATCC 25387),$550.00,$467.50,unavailable,Nb-223 [Santa Cruz soil sample 1],1,freeze-dried,ATCC  480: Nitrobacter medium 203,"Temperature: 26Celsius Atmosphere: Aerobic, with shaking",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Nitrobacter sp. (ATCC 25385),$550.00,$467.50,unavailable,Nb-215 [Santa Cruz soil sample 5],1,freeze-dried,ATCC  480: Nitrobacter medium 203,Temperature: 26.0Celsius Atmosphere: With shaking,unavailable,unavailable
Nitrobacter sp. (ATCC 25383),$550.00,$467.50,unavailable,Nb-107,1,freeze-dried,ATCC  480: Nitrobacter medium 203,Temperature: 26.0Celsius Atmosphere: With shaking,unavailable,unavailable
Nitrobacter sp. (ATCC 25382),$550.00,$467.50,unavailable,Nb-104,1,freeze-dried,ATCC  480: Nitrobacter medium 203,Temperature: 26.0Celsius Atmosphere: With shaking,unavailable,unavailable
Paracoccus versutus (Harrison) Katayama et al. (ATCC 25364),$550.00,$467.50,unavailable,"A2 [CCM 2505, DSM 582, IAM 12814, IFO 14567]",1,freeze-dried,ATCC  472: Thiobacillus A2 (T3) medium,Temperature: 26.0Celsius,unavailable,unavailable
Rhodocyclus tenuis (Pfennig) Imhoff (ATCC 25093),$550.00,$467.50,unavailable,"2761 [ATCC 19134, SMG 109]",1,freeze-dried,ATCC  550: R 8 A H medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Herpetosiphon aurantiacus Holt and Lewin (ATCC 23780),$550.00,$467.50,unavailable,300-49,1,freeze-dried,ATCC  377: Skim milk agar for Herpetosiphon,Temperature: 30.0Celsius,unavailable,unavailable
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 23782),$550.00,$467.50,unavailable,St. Louis [NCIB 11773],1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Herpetosiphon aurantiacus Holt and Lewin (ATCC 23781),$550.00,$467.50,unavailable,300-59,1,freeze-dried,ATCC  377: Skim milk agar for Herpetosiphon,Temperature: 30.0Celsius,unavailable,unavailable
Thiobacillus thioparus Beijerinck (ATCC 23648),$550.00,$467.50,unavailable,1E,1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,Temperature: 30.0Celsius,unavailable,Biotechnology
Thiobacillus thioparus Beijerinck (ATCC 23647),$550.00,$467.50,unavailable,2K,1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Thiobacillus denitrificans Kelly and Harrison (ATCC 23642),$550.00,$467.50,unavailable,4G [NCIB 9546],1,freeze-dried,ATCC  295: S-8 medium for Thiobacillus,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Halothiobacillus neapolitanus (Parker) Kelly and Wood (ATCC 23640),$550.00,$467.50,unavailable,3G,1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,Temperature: 30.0Celsius,unavailable,Biotechnology
Halothiobacillus neapolitanus (Parker) Kelly and Wood (ATCC 23639),$550.00,$467.50,unavailable,5G [ICPB 4331],1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,Temperature: 30.0Celsius,unavailable,Biotechnology
Halothiobacillus neapolitanus (Parker) Kelly and Wood (ATCC 23638),$550.00,$467.50,unavailable,1M [ICPB 4330],1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,Temperature: 30.0Celsius,unavailable,Biotechnology
Desulfosporosinus orientis (Campbell and Postgate) Stackebrandt et al. (ATCC 23598),$550.00,$467.50,unavailable,"NCIB 8445 [Singapore II, Ulu]",1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  207: Modified Starkey's medium C",Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Psychrobacter phenylpyruvicus (Bovre and Henriksen) Bowman et al. (ATCC 23335),$550.00,$467.50,unavailable,A1019,2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30.0Celsius,unavailable,Biotechnology
Psychrobacter phenylpyruvicus (Bovre and Henriksen) Bowman et al. (ATCC 23334),$550.00,$467.50,unavailable,5542 [NCTC 10750],2,freeze-dried,ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood,Temperature: 30.0Celsius,unavailable,Biotechnology
Desulfotomaculum ruminis Campbell and Postgate (ATCC 23193),$550.00,$467.50,unavailable,NCIB 8452 [DL],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  207: Modified Starkey's medium C",Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Lewinella persica (Lewin) Sly et al. (ATCC 23167),$550.00,$467.50,unavailable,T-3,1,freeze-dried,ATCC  231: SWMTY - marine medium,Temperature: 30.0Celsius,unavailable,unavailable
Lewinella nigricans (Lewin) Sly et al. (ATCC 23147),$550.00,$467.50,unavailable,SS-2 [ATCC 19592],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 30.0Celsius 
Atmosphere:  Aerobic",2Celsius  to 8Celsius,unavailable
Lewinella cohaerens (Lewin) Sly et al. (ATCC 23123),"For-Profit:
$376.00",,unavailable,II-2 [ATCC 19593],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius,unavailable,unavailable
Herpetosiphon geysericola (Copeland) Lewin (ATCC 23076),$550.00,$467.50,unavailable,GC-42,1,freeze-dried,ATCC  284: K-101 Flexibacter medium,Temperature: 30.0Celsius,unavailable,unavailable
Methanomonas methylovora Kono et al. (ATCC 21852),$550.00,$467.50,unavailable,M12-4 [NCIB 11376],1,freeze-dried,ATCC  436: Methanol medium,Temperature: 26.0Celsius,unavailable,unavailable
Methylobacterium sp. (ATCC 21372),$550.00,$467.50,unavailable,M89-3A,1,freeze-dried,ATCC  436: Methanol medium,Temperature: 30.0Celsius,unavailable,"Produces glutamic acid L-glutamate, L-glutamic acid, glutamateProduces L-glutamic acid utilizing methanol"
Methylobacterium sp. (ATCC 21371),$550.00,$467.50,unavailable,M135-7,1,freeze-dried,ATCC  436: Methanol medium,Temperature: 30.0Celsius,unavailable,"Produces glutamic acid L-glutamate, L-glutamic acid, glutamateProduces L-glutamic acid utilizing methanol"
Desulfovibrio africanus subsp. africanus Campbell et al. (ATCC 19996),$550.00,$467.50,unavailable,Benghazi,1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  292: Baar's medium for sulfate reducers",Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 19613),$550.00,$467.50,unavailable,NRRL B-280 [ATCC 8198],1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 26.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Desulfovibrio desulfuricans subsp. aestuarii Postgate and Campbell (ATCC 17990),$550.00,$467.50,unavailable,PL,1,freeze-dried,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-10% CO2-10% H2 or 100% N2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Hydrogenophaga palleronii (Davis) Willems et al. (ATCC 17728),$550.00,$467.50,unavailable,"366 [16-0-1, CCUG 20334, LMG 2366t1]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26.0Celsius,unavailable,unavailable
Hydrogenophaga palleronii (Davis) Willems et al. (ATCC 17724),$550.00,$467.50,unavailable,"362 [1-6-1, CCUG 1780, CCUG 20334, CFBP 2445, CIP 103304, DSM 63, LMG 2366t1, VKM B-1328]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26.0Celsius,unavailable,unavailable
Rhodomicrobium vannielii Duchow and Douglas (ATCC 17100),$550.00,$467.50,unavailable,[ATH 3.1.1],1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 26.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 17036),$550.00,$467.50,unavailable,ATH 1.1.14,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 17032),$550.00,$467.50,unavailable,ATH 1.1.4,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 17026),$550.00,$467.50,unavailable,ATH 2.4.4,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 17022),$550.00,$467.50,unavailable,ATH 2.3.14,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 17021),$550.00,$467.50,unavailable,ATH 2.3.12,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic under a tungsten lamp,unavailable,Biotechnology
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 17017),$550.00,$467.50,unavailable,ATH 2.3.3,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodobacter capsulatus (Molisch) Imhoff et al. (ATCC 17016),$550.00,$467.50,unavailable,ATH 2.3.2,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rubrivivax gelatinosus (Molisch) Willems et al. (ATCC 17014),$550.00,$467.50,unavailable,ATH 2.2.12,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17010),$550.00,$467.50,unavailable,ATH 2.1.41,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17009),$550.00,$467.50,unavailable,ATH 2.1.40,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17003),"For-Profit:
$376.00",,unavailable,ATH 2.1.9,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17002),$550.00,$467.50,unavailable,ATH 2.1.7,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Aerobically in the dark or anaerobically under a tungsten lamp,2Celsius  to 8Celsius,Biotechnology
Vitreoscilla stercoraria Pringsheim emend. Strohl et al. (ATCC 15218),$550.00,$467.50,unavailable,Gottingen 1488-6,1,frozen,ATCC  138: Beggiatoa medium,Temperature: 26.0Celsius,unavailable,unavailable
Desulfovibrio salexigens Postgate and Campbell (ATCC 14822),$550.00,$467.50,seqeunce available,NCIB 8403 [British Guiana],1,freeze-dried,"ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl
ATCC  210: Modified Starkey's medium C (ATCC medium 207) with 2.5% NaCl",Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 17031),$550.00,$467.50,unavailable,ATH 1.1.3,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thiomonas intermedia (London) Moreira and Amils (ATCC 15466),$550.00,$467.50,unavailable,unavailable,1,freeze-dried,ATCC  152: Thiobacillus medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",unavailable,Biotechnology
Desulfovibrio salexigens Postgate and Campbell (ATCC 14944),$550.00,$467.50,unavailable,NCIB 8365 [Louisiana 43.11],1,freeze-dried,ATCC  1250: Modified Barr's  for sulfate reducers with 2.5% NaCl,"Temperature: 37Celsius  with shaking
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Methylobacterium rhodinum (Heumann) Green and Bousfield (ATCC 14821),$550.00,$467.50,unavailable,[NCIB 9421],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26.0Celsius,unavailable,Biotechnology
Phaeospirillum molischianum (Giesberger) Imhoff et al. (ATCC 14031),$550.00,$467.50,unavailable,NCIB 9957,1,freeze-dried,ATCC  1808: Yeast extract (ATCC medium 837) with 0.015% sodium sulfide,Max Temperature: 26.0Celsius Min Temperature: 24.0Celsius Atmosphere: Anaerobic,unavailable,Biotechnology
Thiobacillus thioparus Beijerinck (ATCC 23646),$550.00,$467.50,unavailable,h1,1,freeze-dried,ATCC  290: S-6 medium for Thiobacilli,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Psychrobacter urativorans Bowman et al. (ATCC 15174),$550.00,$467.50,unavailable,"B-57 [ACAM 534, ATCC 11052, ATCC 12226, CCM 900, CCUG 4982, DSM 20429, NCIB 11372]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 10.0Celsius,unavailable,CharacterizationBiotechnology
Geobacter metallireducens Lovley et al. (ATCC 53774),$376.00,$319.60,seqeunce available,GS-15 [DSM 7210],1,frozen,ATCC  1768: Geobacter metallireducens medium,"Temperature: 30Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
