Mycobacterium smegmatis bacteriophage BK1 (ATCC 607-B5),$550.00,$467.50,unavailable,BK1,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Mycobacterium smegmatis bacteriophage R-1 (ATCC 607-B1),$550.00,$467.50,unavailable,R-1,1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Bacillus subtilis sp. subtilis bacteriophage Phi-e (ATCC 6051-B1),$550.00,$467.50,unavailable,Phi-e,1,frozen,unavailable,unavailable,unavailable,unavailable
Vibrio cholerae bacteriophage III (ATCC 51352-B8),$550.00,$467.50,unavailable,III,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Vibrio cholerae bacteriophage I (ATCC 51352-B6),$550.00,$467.50,unavailable,I,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Vibrio cholerae bacteriophage V (ATCC 51352-B10),$550.00,$467.50,unavailable,V,1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Pseudomonas sp. bacteriophage Ps-G3 (ATCC 49780-B1),$550.00,$467.50,unavailable,Ps-G3,1,freeze-dried,unavailable,unavailable,unavailable,Characterization
Micrococcus luteus bacteriophage N3 (ATCC 4698-B4),$550.00,$467.50,unavailable,N3 [Cay],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Micrococcus luteus bacteriophage N8 (ATCC 4698-B3),$550.00,$467.50,unavailable,N8 [Horse],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Bacillus megaterium bacteriophage G (ATCC 43725-B1),"$1,200.00","$1,020.00",unavailable,G [HER 276],1,test tube,ATCC  1652: Beef Extract Broth,"Temperature: 30Celsius 

Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Campylobacter coli bacteriophage 19 (ATCC 43135-B1),$550.00,$467.50,unavailable,19 [formerly 5],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Campylobacter coli bacteriophage 17 (ATCC 43133-B1),$550.00,$467.50,unavailable,17 [formerly 13],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Campylobacter coli bacteriophage 20 (ATCC 43136-B1),$550.00,$467.50,unavailable,20 [formerly 4],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
18 (ATCC 43134-B1),$550.00,$467.50,unavailable,18 [formerly 7],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Mycobacterium sp. bacteriophage D-34 (ATCC 4243-B1),$550.00,$467.50,unavailable,D-34,1,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 11 (ATCC 35925-B2),$550.00,$467.50,unavailable,11 [WI 386],1,frozen,ATCC  1423: Modified Brucella broth,"Temperature: 37Celsius 
Atmosphere: Microaerophilic",-80Celsius  or colder,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 13 (ATCC 35924-B2),$550.00,$467.50,unavailable,13 [J1 263],1,frozen,unavailable,unavailable,unavailable,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 9 (ATCC 35924-B1),$550.00,$467.50,unavailable,9 [WI 3263],1,frozen,unavailable,unavailable,unavailable,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 5 (ATCC 35922-B3),$550.00,$467.50,unavailable,14 [J2106],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 4 (ATCC 35921-B1),$550.00,$467.50,unavailable,4 [J2101],1,frozen,unavailable,unavailable,unavailable,unavailable
Campylobacter jejuni subsp. jejuni bacteriophage 2 (ATCC 35919-B1),$550.00,$467.50,unavailable,2 [J1 328],1,frozen,unavailable,unavailable,unavailable,unavailable
Escherichia coli bacteriophage NCIB 11234 (ATCC 35060-B2),$550.00,$467.50,unavailable,NCIB 11234 [T4am B17 gene 23],1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Escherichia coli bacteriophage NCIB 11233 (ATCC 35060-B1),$550.00,$467.50,unavailable,NCIB 11233 [T4am A453 gene 32],1,freeze-dried,ATCC  129: Nutrient agar/stabs/broth with 0.5% NaCl,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Erwinia amylovora bacteriophage NCPPB 782 (ATCC 29850-B1),$550.00,$467.50,unavailable,NCPPB 782 [E1],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Erwinia amylovora bacteriophage NCPPB 1508 (ATCC 29850-B2),$550.00,$467.50,unavailable,NCPPB 1508 [4L],1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Characterization
Erwinia amylovora bacteriophage phi Ea104 (ATCC 29780-B5),$550.00,$467.50,unavailable,Phi Ea104,1,freeze-dried,ATCC  272: Nutrient glucose medium,Temperature: 26.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Erwinia amylovora bacteriophage phi Ea100 (ATCC 29780-B4),$550.00,$467.50,unavailable,Phi Ea100,1,freeze-dried,ATCC  272: Nutrient glucose medium,Temperature: 26.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Erwinia amylovora bacteriophage PEa1 (h) (ATCC 29780-B1),$550.00,$467.50,unavailable,PEa1 (h),1,freeze-dried,unavailable,Temperature: 26.0Celsius,unavailable,unavailable
Escherichia coli bacteriophage P4 sid1 (ATCC 29746-B1),$550.00,$467.50,unavailable,P4 sid1,1,frozen,ATCC  1020: LB modified broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Bacillus thuringiensis bacteriophage MOR-1 (ATCC 29730-B1),$550.00,$467.50,unavailable,MOR-1,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
