Clostridium symbiosum (Stevens) Kaneuchi et al. (ATCC 14940),$402.00,$341.70,NA,Bacteroides symbiosus Stevens,"[2, M. Sebald LSU]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Used in cultivation of Entamoeba histolytica.,https://www.atcc.org/~/ps/14940.ashx
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 13732),$376.00,$319.60,NA,Clostridium butyricum Prazmowski,[55],1,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Produces antineoplastic spore suspension,https://www.atcc.org/~/ps/13732.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124),$72.00,$61.20,seqeunce available,NA,"NCTC 8237 [ATCC 19408, CIP 103 409, CN 1491, NCIB 6125, NCTC 6125, S 107]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Media testingProduces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase CQuality control strainReference materialControl strain for anaerobe identificationQuality control strain for API, BBL, and MicroScan [Reg TM] productsWater testing",https://www.atcc.org/~/ps/13124.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12924),$376.00,$319.60,NA,Clostridium welchii,NCTC 8799 [1546/52],2,freeze-dried,ATCC  1490: Modified chopped meat medium,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric Research,https://www.atcc.org/~/ps/12924.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12919),$376.00,$319.60,NA,Clostridium welchii,"NCTC 8678 [167/51, CIP 106515]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric Research,https://www.atcc.org/~/ps/12919.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12917),$376.00,$319.60,NA,Clostridium welchii,NCTC 8239 [3653/50],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,Enteric Research,https://www.atcc.org/~/ps/12917.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12916),$376.00,$319.60,NA,Clostridium welchii,NCTC 8238 [281/50],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Media testingEnteric Research,https://www.atcc.org/~/ps/12916.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12915),$376.00,$319.60,NA,Clostridium welchii,"NCTC 8359 [3702/49, CIP 106516]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric Research,https://www.atcc.org/~/ps/12915.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 10543),$72.00,$61.20,NA,NA,BP6K [L.S. McClung 1988],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Assay of amino acids,https://www.atcc.org/~/ps/10543.ashx
Bacteroides fragilis (Veillon and Zuber) Castellani and Chalmers (ATCC 43859),$402.00,$341.70,seqeunce available,NA,20793-3,2,freeze-dried,NA,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/43859.ashx
